A: B7 F: 10 B: 01 C: 10 D: C0 E: 1D H: 40 L: 1E SP: FFFE PC: 00:0208 (1C 20 FB 14)
A: B7 F: 10 B: 01 C: 10 D: C0 E: 1E H: 40 L: 1E SP: FFFE PC: 00:0209 (20 FB 14 0D)
A: B7 F: 10 B: 01 C: 10 D: C0 E: 1E H: 40 L: 1E SP: FFFE PC: 00:0206 (2A 12 1C 20)
A: C8 F: 10 B: 01 C: 10 D: C0 E: 1E H: 40 L: 1F SP: FFFE PC: 00:0207 (12 1C 20 FB)
A: C8 F: 10 B: 01 C: 10 D: C0 E: 1E H: 40 L: 1F SP: FFFE PC: 00:0208 (1C 20 FB 14)
A: C8 F: 10 B: 01 C: 10 D: C0 E: 1F H: 40 L: 1F SP: FFFE PC: 00:0209 (20 FB 14 0D)
A: C8 F: 10 B: 01 C: 10 D: C0 E: 1F H: 40 L: 1F SP: FFFE PC: 00:0206 (2A 12 1C 20)
A: F5 F: 10 B: 01 C: 10 D: C0 E: 1F H: 40 L: 20 SP: FFFE PC: 00:0207 (12 1C 20 FB)
A: F5 F: 10 B: 01 C: 10 D: C0 E: 1F H: 40 L: 20 SP: FFFE PC: 00:0208 (1C 20 FB 14)
A: F5 F: 30 B: 01 C: 10 D: C0 E: 20 H: 40 L: 20 SP: FFFE PC: 00:0209 (20 FB 14 0D)
A: F5 F: 30 B: 01 C: 10 D: C0 E: 20 H: 40 L: 20 SP: FFFE PC: 00:0206 (2A 12 1C 20)
A: 3E F: 30 B: 01 C: 10 D: C0 E: 20 H: 40 L: 21 SP: FFFE PC: 00:0207 (12 1C 20 FB)
A: 3E F: 30 B: 01 C: 10 D: C0 E: 20 H: 40 L: 21 SP: FFFE PC: 00:0208 (1C 20 FB 14)
A: 3E F: 10 B: 01 C: 10 D: C0 E: 21 H: 40 L: 21 SP: FFFE PC: 00:0209 (20 FB 14 0D)
A: 3E F: 10 B: 01 C: 10 D: C0 E: 21 H: 40 L: 21 SP: FFFE PC: 00:0206 (2A 12 1C 20)
A: FF F: 10 B: 01 C: 10 D: C0 E: 21 H: 40 L: 22 SP: FFFE PC: 00:0207 (12 1C 20 FB)
A: FF F: 10 B: 01 C: 10 D: C0 E: 21 H: 40 L: 22 SP: FFFE PC: 00:0208 (1C 20 FB 14)
A: FF F: 10 B: 01 C: 10 D: C0 E: 22 H: 40 L: 22 SP: FFFE PC: 00:0209 (20 FB 14 0D)
A: FF F: 10 B: 01 C: 10 D: C0 E: 22 H: 40 L: 22 SP: FFFE PC: 00:0206 (2A 12 1C 20)
A: CD F: 10 B: 01 C: 10 D: C0 E: 22 H: 40 L: 23 SP: FFFE PC: 00:0207 (12 1C 20 FB)
A: CD F: 10 B: 01 C: 10 D: C0 E: 22 H: 40 L: 23 SP: FFFE PC: 00:0208 (1C 20 FB 14)
A: CD F: 10 B: 01 C: 10 D: C0 E: 23 H: 40 L: 23 SP: FFFE PC: 00:0209 (20 FB 14 0D)
A: CD F: 10 B: 01 C: 10 D: C0 E: 23 H: 40 L: 23 SP: FFFE PC: 00:0206 (2A 12 1C 20)
A: 12 F: 10 B: 01 C: 10 D: C0 E: 23 H: 40 L: 24 SP: FFFE PC: 00:0207 (12 1C 20 FB)
A: 12 F: 10 B: 01 C: 10 D: C0 E: 23 H: 40 L: 24 SP: FFFE PC: 00:0208 (1C 20 FB 14)
A: 12 F: 10 B: 01 C: 10 D: C0 E: 24 H: 40 L: 24 SP: FFFE PC: 00:0209 (20 FB 14 0D)
A: 12 F: 10 B: 01 C: 10 D: C0 E: 24 H: 40 L: 24 SP: FFFE PC: 00:0206 (2A 12 1C 20)
A: C0 F: 10 B: 01 C: 10 D: C0 E: 24 H: 40 L: 25 SP: FFFE PC: 00:0207 (12 1C 20 FB)
A: C0 F: 10 B: 01 C: 10 D: C0 E: 24 H: 40 L: 25 SP: FFFE PC: 00:0208 (1C 20 FB 14)
A: C0 F: 10 B: 01 C: 10 D: C0 E: 25 H: 40 L: 25 SP: FFFE PC: 00:0209 (20 FB 14 0D)
